Hexstream,Split Indexes,Splited Hexstream
323230202876734654506420332e302e35290d0a,"[0, 40]",323230202876734654506420332e302e35290d0a
323230202876734654506420332e302e35290d0a,"[0, 40]",323230202876734654506420332e302e35290d0a
33333120506c656173652073706563696679207468652070617373776f72642e0d0a,"[0, 2, 4, 6, 8, 12, 14, 16, 56, 60, 62, 68]",33 33 31 20 506c 65 61 7365207370656369667920746865207061737377 6f72 64 2e0d0a
323330204c6f67696e207375636365737366756c2e0d0a,"[0, 2, 4, 6, 8, 10, 12, 14, 34, 38, 40, 46]",32 33 30 20 4c 6f 67 696e2073756363657373 6675 6c 2e0d0a
3530322041434354206e6f7420696d706c656d656e7465642e0d0a,"[0, 2, 4, 6, 8, 20, 22, 24, 44, 46, 48, 54]",35 30 32 20 41434354206e 6f 74 20696d706c656d656e74 65 64 2e0d0a
32323120476f6f646279652e0d0a,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 20, 22, 28]",32 32 31 20 47 6f 6f 64 6279 65 2e0d0a
33333120506c656173652073706563696679207468652070617373776f72642e0d0a,"[0, 2, 4, 6, 8, 12, 14, 16, 56, 60, 62, 68]",33 33 31 20 506c 65 61 7365207370656369667920746865207061737377 6f72 64 2e0d0a
323330204c6f67696e207375636365737366756c2e0d0a,"[0, 2, 4, 6, 8, 10, 12, 14, 34, 38, 40, 46]",32 33 30 20 4c 6f 67 696e2073756363657373 6675 6c 2e0d0a
32323120476f6f646279652e0d0a,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 20, 22, 28]",32 32 31 20 47 6f 6f 64 6279 65 2e0d0a
32313520554e495820547970653a204c380d0a,"[0, 38]",32313520554e495820547970653a204c380d0a
32313520554e495820547970653a204c380d0a,"[0, 38]",32313520554e495820547970653a204c380d0a
55534552206674700d0a,"[0, 2, 4, 6, 8, 20]",55 53 45 52 206674700d0a
50415353206674700d0a,"[0, 2, 4, 6, 8, 20]",50 41 53 53 206674700d0a
41434354206674700d0a,"[0, 2, 4, 6, 8, 20]",41 43 43 54 206674700d0a
55534552206674700d0a,"[0, 2, 4, 6, 8, 20]",55 53 45 52 206674700d0a
50415353206674700d0a,"[0, 2, 4, 6, 8, 20]",50 41 53 53 206674700d0a
535953540d0a,"[0, 2, 4, 6, 12]",53 59 53 540d0a
515549540d0a,"[0, 2, 4, 6, 12]",51 55 49 540d0a
535953540d0a,"[0, 2, 4, 6, 12]",53 59 53 540d0a
515549540d0a,"[0, 2, 4, 6, 12]",51 55 49 540d0a
